INTEGER,INTEGER
ADD,+
MINUS,-
UPSHIFT,*
DOWNSHIFT,/
S_COLON,;
WORD,WORD
INT,int
WHILE,while
IF,if
ELSE,else
ELIF,elif
RETURN,return
EOF,None
L_CRLY_BRKT,{
R_CRLY_BRKT,}
L_BRKT,(
R_BRKT,)
LESS,<
MORE,>
EQUAL,=
COLON,:
